,Student Name,Date of Birth,Field of Study,Year of Admission,Expected Year of Graduation,Current Semester,Specialization,Fees,Discount on Fees
165527,Bryan Rogers,1/19/2006,Computer Science,2020,2024,3,Web Development,155152,19572
635763,James Hogan,5/23/1999,Mechanical Engineering,2020,2024,2,Machine Learning,157870,14760
740021,Student ID,12/2/1997,Civil Engineering,2017,2022,1,Network Security,55662,5871
433076,Susan Miller,10/30/1999,Computer Science,2015,2019,1,Data Science,134955,17284
441628,Brittany Martin,1/10/1998,Chemical Engineering,2016,2018,1,Network Security,125934,14871
837685,Melody Payne,12/15/1997,Mechanical Engineering,2016,2019,4,Web Development,131633,7565
268329,Erica Owens,6/20/2003,Mechanical Engineering,2020,2020,1,Artificial Intelligence,52994,5231
260971,Timothy Cruz,5/19/2003,Electrical Engineering,2021,2019,2,Artificial Intelligence,125632,18721
851589,Cassandra Johnson,9/11/1999,Chemical Engineering,2019,2020,1,Network Security,89571,16943
880448,Jonathan Ali,3/31/2006,Mechanical Engineering,2019,2020,4,Artificial Intelligence,61165,5748
523477,Lisa Rodriguez,5/18/2004,Chemical Engineering,2022,2020,2,Web Development,173071,21942
842097,Caleb Evans,2/9/2004,Computer Science,2017,2020,4,Artificial Intelligence,113468,597
599098,Virginia Hall,11/6/1999,Civil Engineering,2016,2017,4,Network Security,80912,5062
251033,Susan Middleton,1/6/2001,Civil Engineering,2021,2018,2,Artificial Intelligence,189481,34281
346779,Jennifer Anderson,8/10/1997,Computer Science,2017,2017,1,Data Science,105783,15191
444197,Brandi Bridges,4/17/2002,Chemical Engineering,2019,2021,2,Data Science,60951,9842
991828,Charles Barry,7/31/2000,Computer Science,2016,2021,2,Artificial Intelligence,75030,7811
743502,Sarah Gonzalez,8/4/2005,Electrical Engineering,2019,2019,3,Artificial Intelligence,68083,917
439048,Gary Garcia,7/21/2005,Chemical Engineering,2020,2023,3,Machine Learning,88470,292
312203,Lawrence Hayes,5/8/1998,Civil Engineering,2020,2017,1,Machine Learning,183430,32837
984048,Amy Hanson,12/12/2004,Mechanical Engineering,2017,2018,3,Machine Learning,158144,14576
751987,Benjamin Lane,2/28/2001,Computer Science,2021,2019,2,Network Security,64523,7277
400958,Nicole Grimes,11/30/1998,Civil Engineering,2021,2023,4,Artificial Intelligence,152798,19868
930450,Andrew Reed,6/11/2001,Mechanical Engineering,2018,2017,2,Network Security,54367,1964
795079,Tiffany Armstrong,4/17/2000,Computer Science,2019,2018,1,Web Development,79395,10364
328657,Nicholas Cook,2/16/1999,Mechanical Engineering,2019,2023,1,Machine Learning,87936,2612
617245,Mr. David Pena,8/25/2000,Civil Engineering,2016,2018,2,Machine Learning,63531,7637
895696,Michael Anderson,12/27/2002,Civil Engineering,2021,2018,4,Data Science,116656,4135
989259,Rebecca Thomas,9/9/1997,Civil Engineering,2019,2023,2,Machine Learning,135043,993
804268,Diana Alvarado,12/4/2000,Computer Science,2020,2018,2,Network Security,176127,450
573813,Marissa Ritter,10/1/1997,Electrical Engineering,2020,2021,2,Data Science,173082,31325
302083,Dana Woods,8/13/1998,Mechanical Engineering,2022,2021,4,Web Development,64782,8204
979183,Todd Holmes,10/29/2004,Computer Science,2019,2019,2,Web Development,97872,13789
480400,Nancy Lewis,9/21/2005,Chemical Engineering,2022,2017,2,Machine Learning,108563,16562
824237,Christopher Tyler,6/14/2005,Electrical Engineering,2017,2020,4,Artificial Intelligence,178909,28009
621030,Brittany Taylor,2/12/2002,Computer Science,2017,2017,2,Network Security,161933,26643
225387,Danielle Johnson,9/20/1998,Electrical Engineering,2020,2019,3,Artificial Intelligence,65619,6875
560688,Russell Meyers DDS,11/11/2000,Mechanical Engineering,2017,2020,1,Machine Learning,165365,2584
200648,Eric Howard,8/25/2005,Mechanical Engineering,2018,2023,2,Network Security,194644,36082
747561,Laura Wright,5/7/2005,Mechanical Engineering,2017,2021,4,Machine Learning,185572,6769
955244,Leonard Pierce,10/31/2000,Civil Engineering,2016,2017,2,Machine Learning,150780,14529
194606,Luis Barber,8/1/1998,Computer Science,2021,2017,1,Artificial Intelligence,121670,17803
868885,Melanie Donovan,1/11/2005,Computer Science,2020,2018,4,Web Development,100014,9066
923936,Mr. Jacob Harris,12/17/1999,Computer Science,2016,2018,2,Web Development,186289,26356
923805,Bryan Torres,8/23/1998,Electrical Engineering,2022,2017,3,Network Security,131269,24309
286004,Leslie Allen,6/18/2003,Computer Science,2022,2020,1,Network Security,150567,21517
109669,Cynthia Sanders,4/12/1998,Mechanical Engineering,2021,2023,2,Artificial Intelligence,95280,5386
667391,Bradley Ray,9/3/1998,Electrical Engineering,2020,2021,1,Network Security,181507,6319
117375,Dean Howard,12/6/2003,Mechanical Engineering,2016,2017,2,Data Science,170321,21958
550200,Mark Frye,3/18/2005,Mechanical Engineering,2019,2018,3,Artificial Intelligence,148260,21733
277997,Thomas Perez,9/22/2003,Electrical Engineering,2022,2017,3,Network Security,192794,35652
837116,Stacey Welch,12/16/1998,Mechanical Engineering,2020,2023,2,Data Science,178977,22273
528156,Jason Ferguson,12/22/2001,Mechanical Engineering,2021,2020,1,Machine Learning,177392,13752
986610,Amanda Fitzpatrick,5/4/1998,Electrical Engineering,2017,2018,2,Network Security,186918,23355
936952,Beverly Turner,11/16/2000,Computer Science,2021,2018,1,Web Development,119443,22862
889763,Dominique Matthews,4/6/2005,Chemical Engineering,2016,2021,4,Machine Learning,72305,10818
202479,Kyle Price,7/20/2000,Electrical Engineering,2022,2019,2,Network Security,165786,27411
964838,Andrew Robbins,11/25/2001,Chemical Engineering,2019,2018,1,Artificial Intelligence,169656,33081
300392,Ashley Delacruz,4/11/2000,Computer Science,2017,2020,1,Web Development,156764,24564
723050,Zachary Schultz,5/26/2002,Mechanical Engineering,2019,2023,3,Machine Learning,147764,18304
517825,Michael Anderson,9/16/2000,Chemical Engineering,2021,2020,3,Data Science,164829,16119
532575,Valerie English,5/1/2001,Chemical Engineering,2019,2022,4,Machine Learning,55523,7026
269809,Erin Carroll,2/12/2004,Chemical Engineering,2016,2022,4,Web Development,73893,9203
116204,Paul Collins,10/11/2005,Electrical Engineering,2022,2021,1,Network Security,187204,4370
187256,Michael Jackson,8/6/2005,Mechanical Engineering,2017,2018,4,Data Science,111696,2284
461713,Darrell Cobb,2/18/2000,Mechanical Engineering,2017,2022,4,Network Security,64793,5542
247251,Mr. William Benitez,8/11/2004,Civil Engineering,2016,2020,3,Web Development,81474,7096
684862,Connie Hamilton,2/19/2002,Computer Science,2017,2019,4,Network Security,77197,7788
236252,Daniel Lowery,8/18/1999,Mechanical Engineering,2019,2023,2,Artificial Intelligence,98094,12324
703371,Anthony Brooks,7/3/2005,Civil Engineering,2019,2023,1,Network Security,130261,19390
675405,Jason Mcgee,7/27/1997,Civil Engineering,2016,2018,3,Machine Learning,194593,30989
904034,Sheila Peters,4/16/2002,Computer Science,2017,2021,3,Web Development,62735,6607
849690,Christopher Johnson,11/27/2000,Electrical Engineering,2022,2019,4,Network Security,68559,11257
407743,Bridget Sanchez,7/5/2002,Electrical Engineering,2022,2021,1,Artificial Intelligence,184940,30388
551137,Trevor Stewart,11/11/2005,Mechanical Engineering,2019,2019,2,Artificial Intelligence,93808,17884
486371,Deanna Carter,4/15/2001,Civil Engineering,2016,2022,1,Network Security,141887,14286
589765,Debra Olson,1/30/1999,Computer Science,2018,2021,2,Web Development,87653,6837
214810,Allen Schroeder,12/25/2003,Mechanical Engineering,2018,2022,1,Data Science,122676,19852
206184,James Sullivan,7/24/2005,Electrical Engineering,2018,2022,3,Web Development,76174,584
981852,Debra Moore,9/16/2000,Civil Engineering,2019,2023,1,Artificial Intelligence,132474,4648
732768,Arthur Ramos,8/6/2002,Chemical Engineering,2017,2019,2,Network Security,152327,4830
903389,Earl Simmons,6/10/2001,Civil Engineering,2016,2018,2,Web Development,190435,21882
586293,Nicholas Herrera,4/2/2005,Electrical Engineering,2019,2022,4,Artificial Intelligence,80866,13009
132339,Tanya Cunningham,6/5/1998,Mechanical Engineering,2018,2022,2,Machine Learning,90766,11399
779707,Justin Gonzalez,9/26/2000,Electrical Engineering,2017,2020,3,Web Development,183139,31916
374078,Allen Howard,7/27/1997,Electrical Engineering,2022,2022,4,Network Security,175953,19218
498961,Daniel Munoz,4/17/2004,Electrical Engineering,2016,2021,1,Network Security,166502,1144
351672,Angel Cole,10/18/1997,Electrical Engineering,2021,2019,2,Web Development,191413,9679
572842,Brandon Hill,6/3/2000,Electrical Engineering,2018,2017,2,Machine Learning,114939,19362
